Column1,Column2,Column3,Column4,Column5,Column6
MMSRZ,2004/08/28,389.82,RIKVL,685.23,2015/02/26
KQLIX,2003/03/10,191.21,ZBAAE,514.43,2009/11/26
QEONH,2011/05/04,552.33,ITHRX,193.23,2017/10/04
XTPOV,2001/08/21,-778.76,WQHVO,75.79,2014/07/23
EUSJG,2006/04/08,-418.88,YWDYP,409.49,2012/05/18
BJVHL,2012/03/26,-913.13,ECAEU,251.73,2018/07/07
IGCJN,2013/07/19,663.22,AZHMU,794.19,2012/01/26
RGIJH,2019/11/05,-956.44,PYSDP,872.0,2015/10/04
KEBVB,2012/03/23,-598.67,WFXMD,292.87,2007/08/12
AESFG,2012/02/15,222.13,MPCPM,879.97,2001/06/08
BBROL,2006/01/18,413.73,GRPJW,723.79,2013/05/08
PNXCK,2003/09/18,-706.37,PVAUR,954.58,2019/05/15
WDRPN,2002/12/10,-9.01,TIGAY,-606.35,2014/10/09
UHNZO,2018/07/22,-328.28,WUUYL,553.54,2012/11/15
QOEDM,2007/03/24,816.76,UILFW,747.9,2012/05/15
CYHVW,2018/11/05,-685.04,PUITI,27.17,2006/01/25
YLEDU,2018/06/29,-206.69,YQMRA,-846.73,2001/07/13
SGJUI,2010/10/12,585.97,EYEJY,-58.14,2009/05/16
DGTPY,2001/08/27,-292.91,OKPPT,-343.01,2006/10/04
GGEEA,2019/07/08,851.67,PPLYG,167.97,2001/06/02
BVQUH,2002/10/27,-300.56,CIBHM,131.53,2012/06/06
MMMBH,2014/11/28,614.54,JONZH,-64.19,2002/10/22
YDOCK,2003/01/08,-752.87,SQVVC,-988.15,2001/04/04
QJWVA,2017/07/09,195.66,RETMB,690.11,2014/02/21
UOXTU,2004/08/25,-817.47,AFXPU,453.11,2002/03/25
MLFWP,2002/09/08,729.51,WYHNK,-663.96,2007/01/14
YRIUK,2019/06/08,-920.16,AKXKO,-801.11,2011/09/15
OJZKZ,2003/12/03,141.92,UZNVX,-443.06,2015/04/06
PTGWE,2001/03/08,-477.56,HYCMZ,182.25,2017/05/28
VJUGB,2004/05/06,71.29,CGZZH,45.41,2005/02/08
XOILT,2012/07/14,298.43,VFAJK,-888.51,2013/10/30
PFVJT,2007/08/22,809.36,TVUQX,499.54,2007/04/11
JLHVE,2011/10/04,844.76,ZBJIT,-470.04,2014/01/17
TNFWJ,2004/08/25,-467.18,BHSCA,105.62,2016/10/05
IHAWN,2009/09/03,755.2,RQSGI,520.22,2008/11/06
QAJNM,2010/03/20,-266.48,HYZKH,-763.48,2014/08/16
MXARH,2017/11/24,226.33,MDIAN,481.19,2007/03/04
TDLNQ,2002/05/13,80.23,IZSOJ,-922.49,2004/07/19
IWIMM,2016/10/09,-482.6,YOYFX,596.9,2015/04/23
FEYXA,2007/01/22,242.31,EVZEF,-340.25,2013/12/26
QSCMF,2013/04/10,73.87,XDDTS,466.28,2013/04/12
TDJKE,2017/10/24,-461.84,PZUYA,970.12,2017/09/21
QAZBP,2019/07/21,-648.31,NPWDZ,138.13,2014/06/16
KOWTV,2006/11/18,-100.4,YCVUP,-616.58,2000/06/07
XEBSU,2002/01/09,485.58,RCNNJ,-453.24,2011/06/27
SRMWN,2008/03/05,711.01,TBUVP,215.93,2012/01/04
KRDWS,2014/10/23,393.96,IEHBZ,463.54,2013/10/12
KPKHR,2019/05/22,-382.87,MQQRQ,-993.46,2005/11/19
YFUVN,2011/09/25,764.26,PQHFM,-785.83,2003/06/02
PMVLP,2002/09/09,-324.77,PXGWG,-875.98,2005/03/17
OBBJG,2008/05/02,406.31,HNZXQ,-678.74,2008/07/24
QJINH,2015/08/07,449.36,BRZIQ,362.98,2019/09/03
NJUSN,2006/07/21,507.44,QMAJY,-394.71,2001/05/22
ZEWVZ,2017/05/16,-912.12,CHYUW,-259.68,2002/05/09
SGBGG,2019/10/22,289.32,IDIIC,773.34,2006/08/25
CKYNH,2003/07/02,-499.83,WGACS,951.38,2000/06/06
PZXWQ,2001/01/13,-491.15,LDXDE,366.35,2003/07/21
NSLYX,2014/12/13,215.35,RREVG,-126.64,2004/02/17
DWMXG,2017/11/17,751.79,MXJTH,572.54,2003/10/11
GADZU,2006/07/16,-387.65,DFUPY,-845.55,2011/02/10
PTKFT,2015/09/22,445.44,KWXDI,124.84,2010/07/15
WRWVD,2009/07/01,-210.3,FYKHM,932.22,2016/07/25
NZGIA,2008/12/10,-862.4,TVEBO,-409.32,2000/05/27
UFVDG,2010/01/20,-521.35,WTSEE,-510.02,2011/01/31
GZPIB,2009/02/20,-475.32,DRKPE,132.22,2002/04/19
MLYBA,2008/05/16,-993.82,WNNWP,-997.09,2004/06/15
HMQLH,2009/12/17,779.04,TYWHB,644.69,2017/10/03
DGCEX,2017/04/11,-344.41,LZTKU,-340.62,2002/08/12
GSEDH,2001/02/03,16.26,CKERZ,679.81,2013/12/28
EQZOF,2011/06/01,-696.59,XNUZY,315.22,2007/11/21
SVPVM,2012/01/23,-800.79,QZQHT,-106.03,2017/04/18
NUMAK,2011/08/18,-169.31,DNSJW,-438.92,2008/09/24
PTQRY,2016/02/28,-614.35,BMGTD,-298.87,2009/12/19
RBCDH,2005/03/02,-806.51,KNJON,-159.56,2017/05/06
XTLOT,2013/03/15,537.56,LIOQF,193.01,2016/12/10
HFEQN,2012/07/16,814.67,GWRNS,-1.65,2002/08/15
RAQVD,2001/08/30,114.17,FLKSL,-686.15,2004/07/20
